Humidity: 23.00 %, Temperature: 23.90 C, Speed of sound: 0.03468 cm/us
Humidity: 20.00 %, Temperature: 23.90 C, Speed of sound: 0.03458 cm/us
Humidity: 20.00 %, Temperature: 23.90 C, Speed of sound: 0.03456 cm/us
Humidity: 19.00 %, Temperature: 23.90 C, Speed of sound: 0.03468 cm/us
Humidity: 19.00 %, Temperature: 23.90 C, Speed of sound: 0.03468 cm/us
Humidity: 19.00 %, Temperature: 23.80 C, Speed of sound: 0.03468 cm/us
Humidity: 20.00 %, Temperature: 23.90 C, Speed of sound: 0.03419 cm/us
Humidity: 19.00 %, Temperature: 23.90 C, Speed of sound: 0.03468 cm/us
Humidity: 19.00 %, Temperature: 23.90 C, Speed of sound: 0.03454 cm/us
Humidity: 18.00 %, Temperature: 23.90 C, Speed of sound: 0.03456 cm/us
Humidity: 18.00 %, Temperature: 23.80 C, Speed of sound: 0.03468 cm/us
Humidity: 17.00 %, Temperature: 23.90 C, Speed of sound: 0.03470 cm/us
Humidity: 17.00 %, Temperature: 23.90 C, Speed of sound: 0.03468 cm/us
Humidity: 17.00 %, Temperature: 23.90 C, Speed of sound: 0.03458 cm/us
Humidity: 17.00 %, Temperature: 23.90 C, Speed of sound: 0.03458 cm/us
Humidity: 18.00 %, Temperature: 23.80 C, Speed of sound: 0.03468 cm/us
Humidity: 18.00 %, Temperature: 23.90 C, Speed of sound: 0.03468 cm/us
Humidity: 19.00 %, Temperature: 23.90 C, Speed of sound: 0.03470 cm/us
Humidity: 19.00 %, Temperature: 23.90 C, Speed of sound: 0.03470 cm/us
Humidity: 19.00 %, Temperature: 23.90 C, Speed of sound: 0.03468 cm/us
Humidity: 18.00 %, Temperature: 23.80 C, Speed of sound: 0.03458 cm/us
Humidity: 18.00 %, Temperature: 23.90 C, Speed of sound: 0.03470 cm/us
Humidity: 18.00 %, Temperature: 23.90 C, Speed of sound: 0.03470 cm/us
Humidity: 18.00 %, Temperature: 23.80 C, Speed of sound: 0.03468 cm/us
Humidity: 17.00 %, Temperature: 23.90 C, Speed of sound: 0.03456 cm/us
Humidity: 16.00 %, Temperature: 23.80 C, Speed of sound: 0.03456 cm/us
Humidity: 16.00 %, Temperature: 23.90 C, Speed of sound: 0.03470 cm/us
Humidity: 16.00 %, Temperature: 23.90 C, Speed of sound: 0.03468 cm/us
Humidity: 15.00 %, Temperature: 23.90 C, Speed of sound: 0.03470 cm/us
Humidity: 15.00 %, Temperature: 23.90 C, Speed of sound: 0.03468 cm/us
Humidity: 15.00 %, Temperature: 23.80 C, Speed of sound: 0.03468 cm/us
Humidity: 16.00 %, Temperature: 23.90 C, Speed of sound: 0.03458 cm/us
Humidity: 16.00 %, Temperature: 23.90 C, Speed of sound: 0.03468 cm/us
Humidity: 17.00 %, Temperature: 23.90 C, Speed of sound: 0.03468 cm/us
Humidity: 17.00 %, Temperature: 23.90 C, Speed of sound: 0.03468 cm/us
Humidity: 17.00 %, Temperature: 23.80 C, Speed of sound: 0.03458 cm/us
Humidity: 18.00 %, Temperature: 23.90 C, Speed of sound: 0.03458 cm/us
Humidity: 18.00 %, Temperature: 23.90 C, Speed of sound: 0.03470 cm/us
Humidity: 17.00 %, Temperature: 23.80 C, Speed of sound: 0.03470 cm/us
Humidity: 17.00 %, Temperature: 23.90 C, Speed of sound: 0.03468 cm/us
Humidity: 16.00 %, Temperature: 23.70 C, Speed of sound: 0.03456 cm/us
Humidity: 16.00 %, Temperature: 23.90 C, Speed of sound: 0.03466 cm/us
Humidity: 16.00 %, Temperature: 23.80 C, Speed of sound: 0.03468 cm/us
Humidity: 16.00 %, Temperature: 23.80 C, Speed of sound: 0.03468 cm/us
Humidity: 16.00 %, Temperature: 23.80 C, Speed of sound: 0.03470 cm/us
Humidity: 16.00 %, Temperature: 23.70 C, Speed of sound: 0.03458 cm/us
Humidity: 15.00 %, Temperature: 23.80 C, Speed of sound: 0.03458 cm/us
